V1,V2
10.00,7.88
10.00,7.89
10.00,7.89
10.01,7.90
10.02,7.91
10.02,7.92
10.03,7.92
10.03,7.93
10.03,7.95
10.03,7.96
10.02,7.96
10.01,7.97
9.99,7.98
9.96,7.99
9.94,7.99
9.92,7.99
9.89,8.00
9.85,7.99
9.81,7.99
9.77,7.99
9.73,7.99
9.69,7.99
9.64,7.98
9.60,7.97
9.55,7.96
9.50,7.95
9.45,7.93
9.41,7.92
9.37,7.91
9.34,7.89
9.31,7.88
9.29,7.86
9.27,7.85
9.25,7.83
9.24,7.82
9.24,7.80
9.24,7.79
9.24,7.78
9.24,7.77
9.24,7.76
9.25,7.75
9.26,7.74
9.27,7.74
9.28,7.73
9.29,7.73
9.31,7.73
9.31,7.72
9.33,7.73
9.33,7.72
9.33,7.73
9.33,7.73
9.33,7.73
9.31,7.73
9.30,7.73
9.28,7.73
9.26,7.73
9.24,7.73
9.20,7.73
9.17,7.72
9.14,7.72
9.10,7.72
9.06,7.71
9.03,7.70
8.99,7.69
8.94,7.68
8.91,7.67
8.86,7.65
8.83,7.65
8.79,7.63
8.77,7.61
8.75,7.60
8.73,7.58
8.72,7.57
8.72,7.56
8.72,7.54
8.72,7.53
8.72,7.52
8.73,7.51
8.74,7.50
8.75,7.49
8.76,7.48
8.78,7.48
8.80,7.48
8.81,7.48
8.83,7.47
8.85,7.47
8.87,7.47
8.88,7.48
8.90,7.48
8.90,7.49
8.90,7.49
8.90,7.49
8.90,7.50
8.89,7.50
8.88,7.50
8.86,7.50
8.83,7.50
8.81,7.50
8.79,7.50
8.76,7.49
8.72,7.49
8.69,7.49
8.66,7.49
8.62,7.47
8.58,7.47
8.55,7.45
8.51,7.45
8.48,7.43
8.45,7.42
8.43,7.40
8.41,7.39
8.40,7.38
8.40,7.36
8.40,7.35
8.40,7.34
8.40,7.33
8.41,7.32
8.42,7.31
8.44,7.30
8.46,7.30
8.47,7.29
8.49,7.29
8.51,7.29
8.54,7.29
8.56,7.29
8.58,7.29
8.61,7.29
8.63,7.30
8.65,7.30
8.66,7.31
8.67,7.31
8.68,7.32
8.68,7.32
8.67,7.34
8.67,7.34
8.66,7.34
8.64,7.35
8.63,7.35
8.60,7.36
8.58,7.35
8.54,7.35
8.51,7.34
8.48,7.34
8.45,7.34
8.42,7.33
8.38,7.33
8.35,7.31
8.32,7.31
8.30,7.29
8.27,7.28
8.26,7.27
8.25,7.26
8.25,7.25
8.25,7.24
8.25,7.22
8.26,7.22
8.28,7.21
8.29,7.20
8.31,7.20
8.32,7.20
8.35,7.19
8.37,7.19
8.40,7.19
8.42,7.20
8.45,7.20
8.47,7.20
8.50,7.20
8.52,7.21
8.54,7.22
8.55,7.22
8.56,7.23
8.56,7.24
8.57,7.25
8.56,7.25
8.56,7.26
8.54,7.26
8.53,7.27
8.51,7.27
8.48,7.27
8.46,7.27
8.43,7.27
8.40,7.27
8.37,7.26
8.34,7.26
8.36,7.25
8.27,7.24
8.22,7.24
8.20,7.22
8.15,7.21
8.11,7.20
8.07,7.19
8.03,7.17
7.99,7.15
7.95,7.14
7.90,7.13
7.87,7.11
7.82,7.09
7.78,7.07
7.74,7.05
7.69,7.03
7.65,7.01
7.61,6.99

